GENESIS-Tabelle: 21421-0001
Meister-BAföG - Geförderte Personen, finanzieller Aufwand:;;;;;;;;;;;;
Deutschland, Jahre, Bewilligung/Inanspruchnahme,;;;;;;;;;;;;
Voll-/Teilzeit, Art des finanziellen Aufwandes;;;;;;;;;;;;
Statistik der Aufstiegsfortbildungsförderung;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;
;Bewilligte Förderung;Bewilligte Förderung;Bewilligte Förderung;Bewilligte Förderung;Bewilligte Förderung;Bewilligte Förderung;In Anspruch genommene Förderung;In Anspruch genommene Förderung;In Anspruch genommene Förderung;In Anspruch genommene Förderung;In Anspruch genommene Förderung;In Anspruch genommene Förderung
;Geförderte Personen;Geförderte Personen;Geförderte Personen;Finanzieller Aufwand;Finanzieller Aufwand;Finanzieller Aufwand;Geförderte Personen;Geförderte Personen;Geförderte Personen;Finanzieller Aufwand;Finanzieller Aufwand;Finanzieller Aufwand
;Vollzeit;Teilzeit;Insgesamt;Zuschuss;Darlehen;Insgesamt;Vollzeit;Teilzeit;Insgesamt;Zuschuss;Darlehen;Insgesamt
;Anzahl;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Tsd. EUR
2003;47446;74374;121820;127970;259809;387780;42583;73757;116340;120967;163558;284525
2004;50356;82662;133018;121427;257135;378563;47112;82379;129491;117615;178360;295976
2005;52545;88302;140847;119408;273213;392621;49407;88055;137462;116115;199373;315488
2006;49557;86358;135915;108788;260257;369045;45514;86209;131723;104491;183568;288059
2007;48027;85565;133592;105580;250444;356024;43729;85461;129190;101174;173584;274758
2008;49553;89967;139520;114257;267401;381658;45243;89916;135159;109900;183755;293655
2009;58687;98856;157543;140621;315070;455691;53248;98827;152075;134239;222512;356751
2010;64917;101478;166395;164850;353823;518674;58180;101453;159633;156196;259876;416071
2011;66961;99506;166467;173864;365108;538971;66370;88987;155357;173864;281867;455731
2012;68863;99421;168284;176203;369717;545920;68237;87241;155478;176203;290414;466617
2013;72242;99154;171396;185795;390154;575949;71599;88012;159611;185795;310390;496185
2014;75057;96758;171815;190146;397442;587588;74375;84921;159296;190146;308813;498959
__________
(C)opyright Statistisches Bundesamt, Wiesbaden 2015
Stand: 30.11.2015 - 20:32:28
