GENESIS-Tabelle: 23211-0003
Gestorbene: Deutschland, Jahre, Todesursachen, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;
;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;Insgesamt
2013;Insgesamt;2250;1043;985;1538;1951;2591;3464;6811;14550;24400;33820;46113;54161;97568;129725;153486;319369;-;893825
2013;Bestimmte infektiöse und parasitäre Krankheiten;37;36;17;16;24;55;93;182;262;437;587;761;899;1856;2905;3585;6728;-;18480
2013;Tuberkulose einschließlich ihrer Folgezustände;-;-;-;2;-;4;5;8;12;14;16;13;20;43;65;67;97;-;366
2013;Meningokokkeninfektion;8;1;1;2;1;1;1;4;-;1;3;-;2;-;4;-;4;-;33
2013;Virushepatitis;-;-;-;-;3;10;21;39;56;89;121;81;64;90;139;129;149;-;991
2013;HIV-Krankheit;-;-;-;3;2;14;33;52;62;69;51;24;40;26;17;5;3;-;401
2013;Neubildungen;15;232;128;174;274;488;844;2006;4982;9659;14345;20382;23393;38171;40279;35010;40458;-;230840
2013;Bösartige Neubildungen (BN);12;220;120;167;267;473;836;1974;4911;9560;14150;20101;23009;37336;39097;33559;38050;-;223842
2013;BN der Lippe, der Mundhöhle und des Pharynx;-;1;-;2;7;9;9;77;226;554;782;923;714;808;598;393;370;-;5473
2013;BN des Ösophagus;-;-;-;-;3;4;9;51;172;365;573;710;780;965;788;507;509;-;5436
2013;BN des Magens;-;-;-;6;10;36;39;122;250;412;523;767;820;1419;1697;1595;1926;-;9622
2013;BN des Dickdarms;-;-;2;5;11;25;32;91;232;468;673;1107;1450;2510;3053;3066;4383;-;17108
2013;BN des Rektums, des Anus und am Rektosigmoid;-;-;-;3;6;9;24;59;155;306;444;702;825;1317;1439;1219;1533;-;8041
2013;BN der Leber, der Gallenwege und des Pankreas;-;1;2;5;11;22;70;153;462;951;1610;2465;2993;5169;5410;4128;4191;-;27643
2013;BN der Leber und der intrahepatischen Gallengänge;-;1;2;4;7;7;22;44;125;266;491;787;865;1480;1467;1009;890;-;7467
2013;BN des Pankreas;-;-;-;1;2;12;43;99;291;599;974;1435;1802;3044;3237;2518;2544;-;16601
2013;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;-;-;3;6;13;25;69;256;1005;2440;4192;5883;6338;8878;7600;5569;4055;-;46332
2013;BN der Bronchien und der Lunge;-;-;3;6;13;24;67;246;970;2345;4045;5631;6086;8599;7396;5443;3939;-;44813
2013;Melanom und sonstige bösartige Neubild. der Haut;-;-;1;3;14;26;41;79;147;203;200;257;331;548;577;515;849;-;3791
2013;Bösartiges Melanom der Haut;-;-;1;3;14;25;39;76;137;192;187;235;300;468;479;379;507;-;3042
2013;BN der Brustdrüse;-;1;-;1;18;70;164;349;673;1084;1253;1542;1642;2473;2677;2362;3700;-;18009
2013;BN der Genital- und Harnorgane;2;7;5;17;38;56;101;229;600;1064;1599;2526;3225;6269;7533;7373;8821;-;39465
2013;BN der Cervix uteri;-;-;-;1;8;19;29;76;135;160;178;163;120;163;163;155;180;-;1550
2013;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;-;-;1;3;2;10;17;35;76;133;233;200;425;466;435;543;-;2579
2013;BN des Ovars;-;-;1;4;9;11;29;53;182;270;339;470;530;1001;957;790;820;-;5466
2013;BN der Prostata;-;-;-;-;-;-;-;3;21;98;252;633;999;2078;2832;2988;3504;-;13408
2013;BN der Niere, ausgenommen Nierenbecken;2;6;3;-;3;5;8;32;86;193;285;435;543;935;1144;859;919;-;5458
2013;BN der Harnblase;-;-;-;1;1;2;6;12;57;128;186;267;385;798;1023;1166;1725;-;5757
2013;BN d. lymphat., blutbild. u. verwandten Gewebes;2;63;38;47;42;70;79;161;266;521;723;1154;1624;3222;3825;3481;3513;-;18831
2013;Leukämie;2;55;31;31;25;38;49;78;120;213;306;484;615;1284;1593;1429;1602;-;7955
2013;Gutartige Neubildungen;-;2;2;1;1;4;2;6;16;12;25;39;30;86;98;110;167;-;601
2013;Krankheiten des Blutes u. der blutbildenden Organe;11;15;6;8;7;13;12;21;33;64;71;110;138;268;452;543;1144;-;2916
2013;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;30;50;23;38;53;67;82;227;419;659;1011;1389;1591;3109;4669;5794;11986;-;31197
2013;Diabetes mellitus;-;3;8;8;19;17;34;107;196;390;627;942;1164;2443;3862;4853;9584;-;24257
2013;Psychische und Verhaltensstörungen;-;4;13;50;96;188;232;401;715;1002;1013;1082;1018;1847;3361;5795;19300;-;36117
2013;Psychische und Verhaltensstörungen durch Alkohol;-;1;-;8;15;47;105;241;552;851;846;844;629;588;386;203;157;-;5473
2013;Psych. u. Verhaltensstörungen d.a. psychot. Subst.;-;-;4;33;72;130;113;137;116;80;51;19;14;6;7;3;6;-;791
2013;Krankheiten d. Nervensystems u. d. Sinnesorgane;52;126;62;113;112;107;133;214;438;677;853;1032;1408;2981;4410;5018;8056;-;25792
2013;Meningitis;3;3;1;4;1;2;4;1;3;7;10;11;16;17;24;17;16;-;140
2013;Krankheiten des Kreislaufsystems;20;73;50;101;171;274;469;1143;2789;4835;7312;10724;13805;29089;47258;66831;169549;-;354493
2013;Hypertonie (Hochdruckkrankheit);-;2;-;1;4;7;23;47;119;249;400;595;804;1912;3825;6904;24753;-;39645
2013;Ischämische Herzkrankheiten;-;1;4;7;24;50;110;416;1240;2185;3462;5156;6304;12253;18957;24543;54096;-;128808
2013;Akuter oder rezidivierender Myokardinfarkt;-;1;3;5;21;36;87;335;972;1592;2360;3205;3503;6299;8650;9846;17623;-;54538
2013;Sonstige Formen der Herzkrankheit;13;36;27;45;65;86;130;272;577;925;1367;1848;2471;5527;9445;14729;44048;-;81611
2013;Sonstige Krankheiten des Endokards;-;9;2;3;3;6;20;36;51;125;151;271;381;1022;1824;2769;6338;-;13011
2013;Zerebrovaskuläre Krankheiten;5;16;7;12;23;52;79;166;434;705;1025;1530;2181;5065;8333;11968;26955;-;58556
2013;Schlaganfall, nicht als Blutung oder Infarkt bez.;-;1;-;-;1;4;4;6;25;74;162;271;478;1264;2361;3938;10294;-;18883
2013;Krankheiten der Arterien, Arteriolen und Kapillare;1;1;1;5;11;18;21;60;111;258;398;686;911;1777;2611;3258;8376;-;18504
2013;Krankheiten des Atmungssystems;19;71;15;47;34;59;78;180;458;915;1675;2792;4030;7724;10624;12668;23529;-;64918
2013;Grippe;2;8;-;8;1;5;6;7;19;36;32;27;30;36;47;41;142;-;447
2013;Pneumonie;8;23;2;20;15;30;28;64;131;203;327;469;705;1631;2726;3982;9554;-;19918
2013;Chronische Krankheiten der unteren Atemwege;-;11;3;7;6;11;20;62;197;509;1065;1842;2696;4603;5788;6211;9068;-;32099
2013;Asthma;-;8;3;3;4;6;12;25;31;57;69;74;72;114;156;166;350;-;1150
2013;Krankheiten des Verdauungssystems;10;11;5;19;57;128;235;604;1359;2259;2752;3193;3022;4548;5331;5954;10625;-;40112
2013;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;-;-;-;-;-;7;4;20;37;55;80;102;136;250;361;506;1035;-;2593
2013;Krankheiten der Leber;-;2;2;4;30;80;168;429;1013;1684;2016;2196;1761;2046;1722;1137;965;-;15255
2013;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;-;1;-;4;26;74;158;412;960;1627;1925;2089;1640;1887;1525;963;743;-;14034
2013;Krankheiten der Haut und der Unterhaut;-;-;-;1;-;1;-;6;14;15;35;45;58;130;196;275;598;-;1374
2013;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;-;1;4;4;5;8;11;29;59;80;95;164;204;431;562;605;1262;-;3524
2013;Chronische Polyarthritis und Arthrose;-;-;-;-;1;1;1;3;8;11;13;32;46;98;156;161;345;-;876
2013;Krankheiten des Urogenitalsystems;1;4;-;3;5;11;17;30;71;147;271;482;751;1686;3140;4586;10683;-;21888
2013;Krankheiten der Niere;1;4;-;2;3;9;14;24;56;120;217;376;584;1290;2343;3468;8238;-;16749
2013;Schwangerschaft, Geburt und Wochenbett;-;-;-;1;12;8;3;3;-;2;-;-;-;-;-;-;-;-;29
2013;Best.Zustände mit Ursprung in der Perinatalperiode;1084;8;3;3;1;4;3;3;-;2;2;-;1;2;1;-;-;-;1117
2013;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;665;137;49;30;36;44;36;46;65;91;117;129;89;49;42;37;44;-;1706
2013;Angeborene Fehlbildungen des Nervensystems;72;34;11;6;7;4;8;5;3;3;3;1;5;1;1;1;-;-;165
2013;Angeborene Fehlbildungen des Kreislaufsystems;226;38;17;11;14;17;10;17;15;14;12;9;16;15;18;20;22;-;491
2013;Symptome und abnorme klinische und Laborbefunde;251;53;43;94;133;171;279;486;1005;1477;1809;2016;2009;2812;2876;2748;6927;-;25189
2013;Plötzlicher Kindstod;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152
2013;Sonst. ungenau bezeichnete u. unbek. Todesursachen;95;46;39;90;125;167;266;472;968;1427;1726;1919;1887;2562;2503;2092;3177;-;19561
2013;Äußere Ursachen von Morbidität und Mortalität;55;222;567;836;931;965;937;1230;1881;2079;1872;1812;1745;2865;3619;4037;8480;-;34133
2013;Unfälle einschließlich Spätfolgen;26;169;368;449;427;396;374;473;735;878;829;890;993;1808;2628;3207;7366;-;22016
2013;Transportmittelunfälle;2;61;296;340;280;207;170;202;297;287;250;194;167;297;308;229;184;-;3771
2013;Stürze;1;12;14;18;21;35;45;59;123;195;205;311;415;834;1402;2029;5123;-;10842
2013;Ertrinken und Untergehen;-;33;21;19;19;23;16;12;21;37;33;42;31;42;51;32;33;-;465
2013;Exposition gegenüber Rauch, Feuer und Flammen;2;10;3;1;7;7;9;26;28;27;36;26;32;42;37;53;69;-;415
2013;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);-;5;7;23;52;79;69;80;86;69;46;23;18;25;19;13;36;-;650
2013;Vorsätzliche Selbstbeschädigung;-;18;165;337;428;498;482;662;1007;1072;920;796;628;906;811;648;698;-;10076
2013;Tätlicher Angriff;23;20;11;21;23;26;29;20;43;25;22;26;28;21;21;15;20;-;394
2013;Ereignis, dessen nähere Umstände unbestimmt sind;6;13;23;29;52;43;48;72;91;101;97;96;95;126;153;165;396;-;1606
_____
Todesursachen:
Die ausgewählten Todesursachen ermöglichen einen zeitlichen
Vergleich nach der Umstellung der ICD-Systematik(1980-1997
ICD9, ab 1998 ICD-10).
'Insgesamt' enthält die Angaben zu allen Gestorbenen eines
Berichtsjahres.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2015
