Date,Mobile Operating System,Percent of Usage,GroupDate,GroupOS
2008-12-01,iOS,32.56,0,0
2008-12-01,SymbianOS,42.02,0,1
2008-12-01,Unknown,16.0,0,2
2008-12-01,Linux,1.66,0,3
2008-12-01,Playstation,4.47,0,4
2008-12-01,WinCE,2.22,0,5
2008-12-01,Other,1.07,0,6
2009-01-01,Android,0.66,1,7
2009-01-01,iOS,35.56,1,0
2009-01-01,SymbianOS,39.31,1,1
2009-01-01,BlackBerry OS,0.95,1,8
2009-01-01,Unknown,14.73,1,2
2009-01-01,Linux,1.24,1,3
2009-01-01,Playstation,4.33,1,4
2009-01-01,WinCE,2.1,1,5
2009-01-01,Other,1.12,1,6
2009-02-01,Android,2.06,2,7
2009-02-01,iOS,36.43,2,0
2009-02-01,SymbianOS,37.04,2,1
2009-02-01,BlackBerry OS,5.57,2,8
2009-02-01,Unknown,11.87,2,2
2009-02-01,Playstation,3.58,2,4
2009-02-01,WinCE,1.94,2,5
2009-02-01,Other,1.52,2,6
2009-03-01,Android,2.18,3,7
2009-03-01,iOS,39.6,3,0
2009-03-01,SymbianOS,35.12,3,1
2009-03-01,BlackBerry OS,5.97,3,8
2009-03-01,Unknown,11.29,3,2
2009-03-01,Playstation,3.18,3,4
2009-03-01,WinCE,1.7,3,5
2009-03-01,Other,0.95,3,6
2009-04-01,Android,2.02,4,7
2009-04-01,iOS,41.91,4,0
2009-04-01,SymbianOS,34.25,4,1
2009-04-01,BlackBerry OS,6.39,4,8
2009-04-01,Unknown,10.2,4,2
2009-04-01,Playstation,2.85,4,4
2009-04-01,WinCE,1.55,4,5
