Date,Mobile Operating System,Percent of Usage
2008-12-01,iOS,32.56
2008-12-01,SymbianOS,42.02
2008-12-01,Unknown,16.0
2008-12-01,Linux,1.66
2008-12-01,Playstation,4.47
2008-12-01,WinCE,2.22
2008-12-01,Other,1.07
2009-01-01,Android,0.66
2009-01-01,iOS,35.56
2009-01-01,SymbianOS,39.31
2009-01-01,BlackBerry OS,0.95
2009-01-01,Unknown,14.73
2009-01-01,Linux,1.24
2009-01-01,Playstation,4.33
2009-01-01,WinCE,2.1
2009-01-01,Other,1.12
2009-02-01,Android,2.06
2009-02-01,iOS,36.43
2009-02-01,SymbianOS,37.04
2009-02-01,BlackBerry OS,5.57
2009-02-01,Unknown,11.87
2009-02-01,Playstation,3.58
2009-02-01,WinCE,1.94
2009-02-01,Other,1.52
2009-03-01,Android,2.18
2009-03-01,iOS,39.6
2009-03-01,SymbianOS,35.12
2009-03-01,BlackBerry OS,5.97
2009-03-01,Unknown,11.29
2009-03-01,Playstation,3.18
2009-03-01,WinCE,1.7
2009-03-01,Other,0.95
2009-04-01,Android,2.02
2009-04-01,iOS,41.91
2009-04-01,SymbianOS,34.25
2009-04-01,BlackBerry OS,6.39
2009-04-01,Unknown,10.2
2009-04-01,Playstation,2.85
2009-04-01,WinCE,1.55
